image,confidence,cx,cy,w,h
46.PNG,0.31647732853889465,0.56262934,0.6838915,0.46685982,0.6319934
90.PNG,0.3164837062358856,0.497836,0.49740568,0.94387966,0.98140305
74.PNG,0.31655028462409973,0.34805283,0.6386409,0.31286314,0.50388825
73.PNG,0.31678518652915955,0.71855515,0.15701659,0.28165957,0.313799
191.PNG,0.3168453574180603,0.19847512,0.78851765,0.20006624,0.17449424
119.PNG,0.31692299246788025,0.48692006,0.32376853,0.1288121,0.079905115
126.PNG,0.3170338273048401,0.248443,0.3645973,0.13003051,0.10426381
221.png,0.3170361816883087,0.45943365,0.41972178,0.09257782,0.11579277
162.PNG,0.3171233832836151,0.49626604,0.8503973,0.19295494,0.14344302
153.PNG,0.31717684864997864,0.58176863,0.70295787,0.83487576,0.5932803
75.PNG,0.31762194633483887,0.30124786,0.26072314,0.39511704,0.29204562
251.png,0.3177313208580017,0.5000477,0.49992022,0.9999993,0.9999924
148.PNG,0.31793785095214844,0.098974966,0.33635932,0.12908645,0.13651977
129.PNG,0.3180328905582428,0.81514466,0.49905977,0.21683252,0.16198422
65.PNG,0.31808149814605713,0.49985597,0.5000011,0.99999046,0.9997618
267.png,0.3180973529815674,0.70541453,0.7630327,0.58776194,0.4751821
209.png,0.3182426691055298,0.6577909,0.49957958,0.46219906,0.9914013
192.PNG,0.31832006573677063,0.39425436,0.35548553,0.22495058,0.3377944
12.PNG,0.3184085786342621,0.4287157,0.49993318,0.85578525,0.9999217
210.png,0.31876707077026367,0.7647519,0.5697585,0.4576223,0.7828509
193.PNG,0.3188007175922394,0.4997115,0.5000333,0.9949698,0.99867624
25.PNG,0.31888413429260254,0.24846925,0.85871804,0.14114337,0.16669323
203.png,0.3189968466758728,0.75710154,0.4994333,0.47933212,0.9911078
267.png,0.31905344128608704,0.5000649,0.6734137,0.99999195,0.6522758
236.png,0.3198085129261017,0.5000267,0.500103,1.0,0.9999994
191.PNG,0.319953590631485,0.20234291,0.7825868,0.3052937,0.24988149
159.PNG,0.31998011469841003,0.576709,0.36899537,0.20052053,0.21836592
21.PNG,0.3200020492076874,0.29064405,0.95262575,0.5803328,0.09479163
45.PNG,0.32000696659088135,0.42324057,0.663265,0.22277547,0.16857958
282.png,0.3206727206707001,0.50007135,0.8715739,0.9999995,0.14367819
135.PNG,0.32078611850738525,0.22314836,0.5015333,0.4461101,0.9890038
241.png,0.3210371434688568,0.50008446,0.5000661,0.9999926,0.9999995
151.PNG,0.3212045729160309,0.75799507,0.80483925,0.14499846,0.16949381
94.PNG,0.32126885652542114,0.25604475,0.5820609,0.2913756,0.3267926
254.png,0.3214186728000641,0.3886546,0.6235749,0.7769711,0.752154
265.png,0.32149654626846313,0.41187513,0.6163145,0.4058638,0.49691916
280.png,0.321511834859848,0.49995294,0.5003703,0.9999989,0.999966
196.PNG,0.32223328948020935,0.5000041,0.5000158,0.9999882,0.9999933
1.PNG,0.3222578465938568,0.4999309,0.50101954,0.9999145,0.9952028
150.PNG,0.3223453760147095,0.47377634,0.8886577,0.12753622,0.14536855
83.PNG,0.32234764099121094,0.3928718,0.7168525,0.4244396,0.32051232
121.PNG,0.3224101662635803,0.4887408,0.85375863,0.16717492,0.1745243
170.PNG,0.3230454921722412,0.3644571,0.37033758,0.6626389,0.700012
191.PNG,0.32317492365837097,0.13206354,0.3659803,0.18595792,0.14530899
29.PNG,0.3232303857803345,0.6781221,0.6142688,0.27041277,0.34742397
81.PNG,0.32358214259147644,0.6169308,0.71414185,0.39834872,0.20329931
78.PNG,0.3235921859741211,0.66136426,0.44229332,0.22758767,0.42412072
148.PNG,0.32367727160453796,0.7971412,0.636649,0.13912565,0.14612383
138.PNG,0.32379716634750366,0.32270223,0.721199,0.17777035,0.2604553
147.PNG,0.3240252435207367,0.22611162,0.32229427,0.21752387,0.21356459
270.png,0.3241519331932068,0.58765525,0.44644326,0.8246979,0.8919674
171.PNG,0.32419684529304504,0.0921059,0.5128346,0.14592241,0.13111012
19.PNG,0.3245279788970947,0.580692,0.7601769,0.29334527,0.45955512
151.PNG,0.3249439597129822,0.75815773,0.8049318,0.14359476,0.1695558
94.PNG,0.3252623379230499,0.515826,0.46735796,0.8640593,0.92301464
235.png,0.3252790570259094,0.4999981,0.5001157,0.99999803,0.9999998
254.png,0.3253120481967926,0.38879952,0.6239482,0.777641,0.7518538
147.PNG,0.32538026571273804,0.65455604,0.8577349,0.189515,0.14668147
148.PNG,0.3259071409702301,0.099031515,0.33637735,0.1292391,0.13659173
33.PNG,0.3260662853717804,0.6155978,0.56515765,0.75853616,0.8518146
278.png,0.32638463377952576,0.569717,0.4940364,0.8599822,0.9859945
8.PNG,0.3265748918056488,0.24106653,0.3718302,0.12147389,0.22661993
240.png,0.3267088532447815,0.5000508,0.5001135,0.9999978,0.9999991
231.png,0.3270714581012726,0.5000622,0.50001186,0.9999972,0.9999999
273.png,0.32730159163475037,0.50010145,0.5002013,0.99999833,0.9999989
166.PNG,0.3274441659450531,0.23994303,0.33542982,0.1642531,0.27754897
217.png,0.3276674449443817,0.37899962,0.33445942,0.49628916,0.6639663
31.PNG,0.3277440667152405,0.41912076,0.5291221,0.3047935,0.49123907
197.PNG,0.327920526266098,0.21597193,0.51818866,0.42782184,0.9548819
107.PNG,0.3280174434185028,0.28921607,0.5011909,0.11523596,0.30151114
53.PNG,0.3280285596847534,0.6912006,0.65664876,0.17729264,0.100772716
73.PNG,0.32809486985206604,0.7006575,0.13258561,0.18213595,0.24265313
132.PNG,0.3284853398799896,0.39298826,0.6754332,0.66297984,0.6448311
7.PNG,0.32854026556015015,0.5693702,0.50358903,0.84927106,0.96659243
64.PNG,0.3288183808326721,0.26565284,0.5536656,0.25556916,0.3343594
201.png,0.3289852440357208,0.27438417,0.07262783,0.09216278,0.14274979
50.PNG,0.32928529381752014,0.50351185,0.4993439,0.9774495,0.98018014
288.png,0.32939961552619934,0.5000003,0.5002987,0.99992573,0.9996814
45.PNG,0.32993075251579285,0.42329672,0.630393,0.23391117,0.24665089
255.png,0.3300393521785736,0.49988955,0.50069577,0.9999998,0.99675703
148.PNG,0.33025720715522766,0.38875616,0.9168072,0.1285205,0.13400894
282.png,0.33083459734916687,0.5000954,0.89876574,0.9999999,0.20178176
26.PNG,0.33089572191238403,0.44219244,0.42440048,0.7539783,0.6454614
215.png,0.331043004989624,0.27938625,0.50051135,0.55879635,0.99999595
2.PNG,0.33110126852989197,0.49941704,0.4997265,0.9921682,0.99435866
172.PNG,0.3314773440361023,0.3283742,0.70037186,0.25586262,0.34153503
272.png,0.3316095471382141,0.5000178,0.49981922,0.99999964,0.9999775
124.PNG,0.3317711651325226,0.3214205,0.7187703,0.24204272,0.121938385
6.PNG,0.3317887485027313,0.75358164,0.52769643,0.17261878,0.2292945
152.PNG,0.3318239450454712,0.67350364,0.17562869,0.18697187,0.21929644
263.png,0.33214908838272095,0.13248366,0.7043077,0.15517585,0.18743765
179.PNG,0.3322150707244873,0.5331652,0.62810934,0.22438481,0.49666175
64.PNG,0.33269011974334717,0.26937157,0.5198565,0.27074262,0.41586465
283.png,0.3331882655620575,0.49983725,0.8786534,0.99999857,0.16377227
149.PNG,0.3334299325942993,0.4674392,0.84975785,0.12706241,0.18177085
50.PNG,0.33350926637649536,0.5328865,0.5011472,0.91943216,0.97616357
27.PNG,0.33367857336997986,0.21224788,0.72210485,0.26543897,0.3048718
63.PNG,0.33398810029029846,0.53571814,0.70370626,0.42063123,0.22442251
233.png,0.334017813205719,0.50004613,0.5001734,0.9999999,0.9999955
279.png,0.33411121368408203,0.3376327,0.87155163,0.34341332,0.2572562
114.PNG,0.3342077434062958,0.5321141,0.856334,0.1537149,0.16868502
146.PNG,0.3342636823654175,0.19121833,0.34786728,0.13022906,0.1318919
209.png,0.33441731333732605,0.6631124,0.49953943,0.4690988,0.99192363
59.PNG,0.3349323570728302,0.28335482,0.1792226,0.49465898,0.29476994
282.png,0.3350991904735565,0.4999121,0.8719408,0.9999894,0.14346763
145.PNG,0.3351975381374359,0.47109032,0.89945096,0.2460023,0.1377806
151.PNG,0.33522024750709534,0.18040322,0.23963179,0.17673749,0.21897471
186.PNG,0.3352817893028259,0.14906149,0.5338743,0.12097186,0.3080842
167.PNG,0.3356693983078003,0.30162907,0.28365076,0.11970331,0.23515595
12.PNG,0.33588236570358276,0.42166552,0.6646904,0.84224737,0.66857296
127.PNG,0.3359878957271576,0.29423213,0.5378176,0.14311023,0.24501161
159.PNG,0.3361172378063202,0.36967146,0.7117808,0.18069495,0.26081765
162.PNG,0.3363540768623352,0.47839546,0.5804041,0.2149173,0.1625284
100.PNG,0.33636316657066345,0.43674886,0.7755104,0.34126383,0.22865911
181.PNG,0.33637917041778564,0.62917334,0.37090418,0.10892238,0.21986687
83.PNG,0.33655375242233276,0.3914951,0.71075577,0.35095215,0.24548781
234.png,0.3366807997226715,0.50000083,0.49999776,0.99999833,0.9999988
160.PNG,0.3368135690689087,0.41142747,0.2081807,0.15896545,0.1676171
52.PNG,0.33681753277778625,0.5048228,0.49987987,0.9811737,0.99983764
188.PNG,0.3370017409324646,0.67027104,0.5479105,0.079701684,0.16218793
14.PNG,0.3373785614967346,0.49995998,0.51379985,0.9951993,0.96664745
232.png,0.3373965919017792,0.50112957,0.61028314,0.24907583,0.06702539
5.PNG,0.33799320459365845,0.37155876,0.7931497,0.11150559,0.21065833
224.png,0.3380069434642792,0.48948836,0.5000572,0.97412425,0.99988186
203.png,0.33811381459236145,0.7560363,0.49892062,0.4817484,0.9909208
150.PNG,0.33819693326950073,0.47364134,0.8885329,0.12729384,0.14519317
18.PNG,0.33835187554359436,0.54028106,0.48467255,0.19264261,0.34090245
211.png,0.33855265378952026,0.5569743,0.49436358,0.8729375,0.98017585
268.png,0.339173287153244,0.4999388,0.8074529,0.9999944,0.38529423
137.PNG,0.3393650949001312,0.3950322,0.79444873,0.12553984,0.23819296
30.PNG,0.3393975794315338,0.4835498,0.33255407,0.425982,0.2606421
143.PNG,0.3394335210323334,0.33790725,0.50012606,0.6754952,0.9999791
65.PNG,0.33949214220046997,0.4459053,0.49958122,0.89170647,0.9974153
242.png,0.33978143334388733,0.50005597,0.5003182,0.99997985,0.99999774
263.png,0.3399520516395569,0.13291141,0.7083934,0.15260285,0.17467101
34.PNG,0.33997100591659546,0.46348327,0.48165455,0.2977499,0.32433194
268.png,0.34026816487312317,0.49994415,0.49978432,0.99998474,0.9975968
40.PNG,0.3402765691280365,0.397518,0.5944042,0.15015042,0.3008942
181.PNG,0.3403840959072113,0.08588264,0.7019206,0.1711405,0.24208455
55.PNG,0.3405853807926178,0.2725705,0.27906787,0.25291336,0.21229173
186.PNG,0.34060245752334595,0.6596225,0.58396554,0.1919845,0.25767124
136.PNG,0.34106647968292236,0.4023003,0.3952792,0.27322596,0.35053292
272.png,0.34109872579574585,0.3688616,0.7962495,0.7377621,0.40820453
289.png,0.3411947190761566,0.4993989,0.50002587,0.9965479,0.9997409
169.PNG,0.341417521238327,0.8336989,0.8537266,0.19735269,0.17139293
68.PNG,0.3415086567401886,0.15951236,0.36419752,0.1901881,0.61403996
285.png,0.3418467044830322,0.5001874,0.50020117,0.9999259,0.99999803
242.png,0.3423840403556824,0.500067,0.50034225,0.9999986,0.999997
67.PNG,0.3426317572593689,0.29394308,0.7162596,0.26470602,0.30694067
134.PNG,0.3426459729671478,0.2592739,0.6009251,0.14368136,0.18031739
240.png,0.34280285239219666,0.49995053,0.5001046,0.9999976,0.9999961
54.PNG,0.3428453803062439,0.49995977,0.5001355,0.99999815,0.99997973
265.png,0.34289413690567017,0.436986,0.6678369,0.86576337,0.6632937
122.PNG,0.34315720200538635,0.43228564,0.6414459,0.26677215,0.1996666
37.PNG,0.34319937229156494,0.6306985,0.22963075,0.40248957,0.440949
200.PNG,0.34334561228752136,0.82551056,0.54387724,0.34806386,0.7757614
122.PNG,0.34346282482147217,0.4320591,0.6414273,0.2670565,0.1996456
156.PNG,0.34380432963371277,0.6635968,0.8505477,0.1868879,0.21542023
227.png,0.3438131809234619,0.41428295,0.03320123,0.06260072,0.06651555
79.PNG,0.3442842364311218,0.20029478,0.28273714,0.40102434,0.50164884
158.PNG,0.3443141281604767,0.4999524,0.5001681,0.9999006,0.9999583
70.PNG,0.3450023829936981,0.40129235,0.48809627,0.4419882,0.15817493
148.PNG,0.34506914019584656,0.79714805,0.63689935,0.13859782,0.14455207
10.PNG,0.345072865486145,0.5140156,0.5278754,0.13984478,0.14966418
50.PNG,0.34535232186317444,0.34005916,0.4182161,0.49994814,0.48062468
226.png,0.34560245275497437,0.4999523,0.5003231,0.99999917,0.9999996
145.PNG,0.34600549936294556,0.470779,0.8986523,0.24356863,0.13623105
20.PNG,0.3462085425853729,0.5000001,0.50024104,0.99994904,0.99995196
168.PNG,0.3463849127292633,0.34277916,0.4050359,0.15687235,0.14255401
28.PNG,0.3464634120464325,0.5094889,0.63519496,0.5161145,0.354842
263.png,0.34681591391563416,0.13222608,0.7038103,0.15846607,0.19221479
275.png,0.3468168377876282,0.5000579,0.50010365,0.99999106,0.9999967
206.png,0.34738895297050476,0.55774534,0.50024974,0.2041224,0.99996465
115.PNG,0.34775468707084656,0.49993336,0.5003451,0.9999993,0.9999254
268.png,0.34829264879226685,0.4999503,0.80912817,0.99998546,0.38097945
133.PNG,0.3493073582649231,0.38816166,0.43629014,0.13784327,0.23425126
177.PNG,0.3493500053882599,0.5078154,0.85502726,0.09104687,0.24652083
162.PNG,0.3495371341705322,0.47850806,0.5802501,0.21464637,0.162933
217.png,0.34999340772628784,0.28238457,0.5050166,0.5594559,0.9831523
90.PNG,0.35007554292678833,0.18001296,0.6426932,0.15355022,0.2934505
210.png,0.350395143032074,0.7704845,0.5023364,0.4373818,0.61944455
140.PNG,0.3507571518421173,0.5513318,0.5480744,0.18474634,0.33501324
150.PNG,0.3508623540401459,0.069057256,0.3688746,0.12902893,0.1738553
281.png,0.35123497247695923,0.5001072,0.50032353,0.9999994,0.9999999
214.png,0.35138416290283203,0.48555154,0.5553428,0.96552485,0.8834258
97.PNG,0.3515321910381317,0.4999926,0.6346985,0.99994975,0.7264386
42.PNG,0.35183364152908325,0.49999386,0.5002644,0.99980825,0.99963236
150.PNG,0.35201019048690796,0.06914405,0.3686856,0.12871544,0.1741515
120.PNG,0.3523368835449219,0.7459267,0.19910099,0.16252415,0.21972077
131.PNG,0.35237962007522583,0.49992573,0.49809766,0.998877,0.99254775
222.png,0.35265952348709106,0.8864163,0.6551274,0.14537373,0.11854128
78.PNG,0.35316601395606995,0.6563615,0.43812504,0.17596625,0.33485213
3.PNG,0.3534715175628662,0.52837616,0.49997061,0.9415822,0.99999464
101.PNG,0.35348910093307495,0.49364114,0.6564025,0.4359025,0.47765097
134.PNG,0.3535621762275696,0.25923583,0.6009424,0.14295544,0.17947574
160.PNG,0.35366639494895935,0.41125798,0.20827197,0.15797329,0.16918918
11.PNG,0.35375702381134033,0.3942063,0.4962233,0.77813077,0.9883455
44.PNG,0.35409122705459595,0.50207514,0.49523807,0.980241,0.9806598
41.PNG,0.35431715846061707,0.49995852,0.5002623,0.9999814,0.99999726
238.png,0.3546265661716461,0.5001247,0.5002907,0.9999995,0.9999986
117.PNG,0.35482257604599,0.86430794,0.4358377,0.13703117,0.28324914
236.png,0.35493704676628113,0.5001177,0.49999726,0.99999946,0.9999996
72.PNG,0.3549887537956238,0.55933106,0.77160615,0.23840381,0.2747953
198.PNG,0.35543587803840637,0.19086887,0.78436065,0.25407487,0.36591753
157.PNG,0.3556116819381714,0.6835677,0.8129136,0.15290046,0.19090588
290.png,0.35564613342285156,0.4999528,0.5004552,0.9999845,0.99999404
282.png,0.35601139068603516,0.5010497,0.16561012,0.29181683,0.17402618
163.PNG,0.35618826746940613,0.2686657,0.65876746,0.53325176,0.67380965
154.PNG,0.3562852442264557,0.46837783,0.6462815,0.30712655,0.20916176
279.png,0.3562861680984497,0.33712465,0.87181973,0.34540594,0.25710982
279.png,0.3563247621059418,0.33694136,0.8714361,0.3444616,0.25763303
215.png,0.3566329777240753,0.27998993,0.5004617,0.55978096,0.99999654
7.PNG,0.3567737936973572,0.31863782,0.5687969,0.2016951,0.2911456
93.PNG,0.3569962978363037,0.68568957,0.54743403,0.2271456,0.35046163
170.PNG,0.3571692407131195,0.36478102,0.37417355,0.6596728,0.68885905
223.png,0.35722747445106506,0.5452937,0.7044917,0.90717536,0.58897793
278.png,0.3572489321231842,0.49991396,0.4999296,0.9999881,0.9992781
133.PNG,0.35752034187316895,0.38818952,0.4363714,0.13708805,0.23350312
183.PNG,0.35775285959243774,0.30752078,0.7550806,0.6100034,0.4810881
163.PNG,0.35825565457344055,0.43779758,0.43542397,0.62267065,0.8647354
48.PNG,0.3583146929740906,0.34198913,0.7317675,0.5562279,0.18684423
217.png,0.3588525950908661,0.37881112,0.33546284,0.4968228,0.66549706
146.PNG,0.35938116908073425,0.46684453,0.8454403,0.21088262,0.1492732
84.PNG,0.35942545533180237,0.5417101,0.74825543,0.39475873,0.23320153
162.PNG,0.3594954311847687,0.49645826,0.8503835,0.1938415,0.14312196
102.PNG,0.3596439063549042,0.21183088,0.58615416,0.1597019,0.7009111
62.PNG,0.3596706986427307,0.359448,0.8526014,0.2299842,0.2621983
232.png,0.3598625063896179,0.50137156,0.6102294,0.24862671,0.067366846
16.PNG,0.3599717915058136,0.44807827,0.49859732,0.8949785,0.9987092
145.PNG,0.3601713478565216,0.26176417,0.37112877,0.21716022,0.13894993
221.png,0.3602164089679718,0.1732435,0.5910684,0.1460611,0.12146183
277.png,0.3604291081428528,0.50001657,0.5000853,0.9999986,0.99999976
23.PNG,0.36092841625213623,0.49999955,0.5000771,0.9999997,0.99999297
252.png,0.3609362244606018,0.5000439,0.5655802,0.99999744,0.86816
108.PNG,0.36148643493652344,0.25885102,0.39604324,0.17819971,0.31820536
264.png,0.3617318868637085,0.24062939,0.62845355,0.4712896,0.7412783
190.PNG,0.3617560565471649,0.6146715,0.55900973,0.76552767,0.8725301
169.PNG,0.3617863953113556,0.83453393,0.8515004,0.16216023,0.12893818
188.PNG,0.36197423934936523,0.6704062,0.547894,0.079133846,0.16175653
192.PNG,0.36208784580230713,0.3941309,0.35555103,0.22514316,0.33747575
8.PNG,0.3624277412891388,0.90147376,0.45429587,0.18190768,0.3764834
270.png,0.36265939474105835,0.58640444,0.4462749,0.8273794,0.89320076
213.png,0.3627481162548065,0.49926972,0.49883893,0.9901417,0.9913328
92.PNG,0.36291465163230896,0.49647504,0.55329657,0.1537859,0.36964694
187.PNG,0.36327749490737915,0.26849735,0.6123583,0.19390994,0.25640896
182.PNG,0.36331164836883545,0.5474339,0.14309633,0.16711067,0.18588845
171.PNG,0.3634277582168579,0.092200056,0.5127313,0.1470197,0.13210072
3.PNG,0.36353790760040283,0.7921349,0.46747285,0.41562778,0.52793545
96.PNG,0.36358314752578735,0.63787115,0.6487982,0.2590664,0.3825958
41.PNG,0.3645400106906891,0.6913028,0.8002698,0.29687533,0.2666784
147.PNG,0.3646538555622101,0.65513235,0.8577613,0.1904833,0.14803888
241.png,0.365050345659256,0.49998054,0.5000676,0.999999,0.999997
231.png,0.36530014872550964,0.5002509,0.49997887,0.99998987,0.9999994
167.PNG,0.3654404580593109,0.31360003,0.557267,0.62167263,0.87546206
148.PNG,0.365475058555603,0.3887805,0.916926,0.128737,0.133514
86.PNG,0.3654834032058716,0.54081607,0.9047043,0.31626913,0.19064061
221.png,0.3662170171737671,0.1732429,0.5913753,0.14624235,0.12096016
263.png,0.36647313833236694,0.13250852,0.7045409,0.15585367,0.18694302
219.png,0.3665968179702759,0.8476911,0.9269457,0.108180314,0.14015374
10.PNG,0.3666363060474396,0.49975294,0.49976075,0.9948853,0.9975441
76.PNG,0.36733612418174744,0.5880659,0.66825926,0.29203808,0.18161708
146.PNG,0.36766842007637024,0.4667828,0.84491587,0.2095034,0.1460904
60.PNG,0.3676929473876953,0.4315031,0.6251298,0.34884053,0.31120825
86.PNG,0.36792275309562683,0.6578676,0.7936673,0.22064978,0.248888
90.PNG,0.3681972324848175,0.46216953,0.498279,0.8161085,0.97260106
178.PNG,0.3688521087169647,0.41642624,0.70071554,0.2696883,0.241043
175.PNG,0.36896881461143494,0.34609643,0.76387674,0.33168438,0.23720972
283.png,0.36904436349868774,0.50002515,0.8794186,0.99999964,0.16305792
112.PNG,0.36951538920402527,0.5001738,0.49795303,0.9997197,0.98984724
74.PNG,0.36971184611320496,0.3383702,0.643327,0.19646923,0.36464223
